country_txt,attack_count,average_gdp,log_average_gdp,log_attack_count
East Timor,10,1029020985.7142857,20.751873687870525,2.302585092994046
Ecuador,55,68351595558.44589,24.947930743786053,4.007333185232471
Egypt,2179,205883134464.53748,26.050574536331105,7.68662133494462
Equatorial Guinea,1,12005680748.009464,23.208645770385488,0.0
Eritrea,14,1223860744.85462,20.925276244020576,2.6390573296152584
Estonia,3,20167745658.142593,23.727350415593374,1.0986122886681098
Ethiopia,190,41282264881.31481,24.443698822925537,5.247024072160486
Fiji,5,3636405135.884403,22.014261430565067,1.6094379124341003
Finland,21,231393445097.59088,26.1673853241552,3.044522437723423
France,503,2407359837496.862,28.509551759815633,6.220590170099739
Gabon,5,12748477753.229729,23.268677709519515,1.6094379124341003
Gambia,1,1262290787.3964193,20.95619399242855,0.0
Georgia,114,11697813990.565804,23.18266782288047,4.736198448394496
Germany,284,3251456353568.2173,28.810124120689654,5.648974238161206
Ghana,17,35534948933.10378,24.293782526136965,2.833213344056216
Greece,659,232532466056.1993,26.172295691176608,6.490723534502507
Guatemala,24,45005788692.63603,24.530056956057756,3.1780538303479458
Guinea,20,7486205341.034277,22.736327876059704,2.995732273553991
Guinea-Bissau,9,957006234.1329458,20.679320463641513,2.1972245773362196
Guyana,16,3058789425.3949175,21.841285062019345,2.772588722239781
Haiti,39,11190713457.829166,23.138350115756896,3.6635616461296463
Honduras,23,15703381588.069912,23.477141913883212,3.1354942159291497
Hong Kong,5,247911508572.13452,26.23633769916224,1.6094379124341003
Hungary,8,122614898018.18855,25.532314370343126,2.0794415416798357
Iceland,2,16779104240.024399,23.54340015396369,0.6931471805599453
India,10887,1561390065533.6042,28.07659760807464,9.29532469588118
Indonesia,638,644916721858.7533,27.19238703200905,6.45833828334479
Iran,182,347431459129.1299,26.573833242580733,5.204006687076795
Iraq,27360,132919308806.36728,25.613008080346813,10.216837371736487
Ireland,194,249981824308.05505,26.244654049397905,5.267858159063328
Israel,1318,245000299861.5,26.22452527141488,7.183870715062453
Italy,161,1909679872008.1633,28.277956737661135,5.081404364984463
Ivory Coast,66,36688198047.19047,24.325720961193664,4.189654742026425
Jamaica,4,12781520324.011307,23.27126624001072,1.3862943611198906
Japan,44,5015021896991.84,29.243458903632384,3.784189633918261
Jordan,48,26277910630.993473,23.99199452325431,3.871201010907891
Kazakhstan,23,126575192678.0784,25.564102377045575,3.1354942159291497
Kenya,772,48735379860.72292,24.60967108911832,6.648984550024776
Kosovo,162,6577798164.852579,22.606965900881722,5.087596335232384
Kuwait,12,108467122031.09822,25.4097129412514,2.4849066497880004
Kyrgyzstan,31,5098355498.853009,22.352183873472832,3.4339872044851463
Laos,19,8855013997.590372,22.904249688935504,2.9444389791664403
Latvia,5,24478434816.429455,23.921058355309107,1.6094379124341003
Lebanon,636,35136099295.58535,24.28249490886504,6.455198563340122
Lesotho,3,1891018499.858021,21.360381409683296,1.0986122886681098
Liberia,14,2133911449.5238094,21.481222493896524,2.6390573296152584
Libya,2491,57347241167.940605,24.772390574184936,7.820439515262181
Lithuania,2,37000511314.920105,24.334197568817313,0.6931471805599453
Macedonia,106,8781859977.674093,22.89595406471766,4.663439094112067
Madagascar,13,9681059021.042572,22.993437135251092,2.5649493574615367
Malawi,9,7649964302.895768,22.757966818485833,2.1972245773362196
Malaysia,72,236529245939.38004,26.189337698710244,4.276666119016055
Maldives,28,2730200397.8301554,21.7276408492478,3.332204510175204
Mali,976,10473025267.326256,23.0720687663504,6.883462586413092
Malta,5,9347509458.91968,22.958375776734762,1.6094379124341003
Mauritania,14,5084346282.735786,22.349432300215252,2.6390573296152584
Mexico,196,1074241434291.206,27.7026358859055,5.278114659230517
Moldova,5,6386298771.972548,22.577420715608508,1.6094379124341003
Montenegro,32,3596019223.907089,22.003093299455593,3.4657359027997265
Morocco,14,93506084549.76514,25.2612923465223,2.6390573296152584
Mozambique,565,11934773698.354048,23.20272213538057,6.336825731146441
Myanmar,551,41180150684.1918,24.44122219769895,6.311734809152915
Namibia,27,9392188108.73981,22.963144128445276,3.295836866004329
Nepal,1508,17467520134.08587,23.58360900105006,7.318539548567902
Netherlands,71,768146633261.433,27.367246480595337,4.2626798770413155
New Caledonia,24,7938229653.188868,22.79495612175159,3.1780538303479458
New Zealand,24,146545890599.8732,25.710604462767634,3.1780538303479458
Nicaragua,16,9250818771.849932,22.947977900429116,2.772588722239781
Niger,217,7715539537.149677,22.766502253841857,5.37989735354046
Nigeria,5469,321274514206.02094,26.495561779056988,8.606851063346772
Norway,13,371364936145.8837,26.640451071461655,2.5649493574615367
Pakistan,13687,217029394618.22888,26.103298640383297,9.524201756211266
Panama,3,35379755990.47619,24.289405628833357,1.0986122886681098
Papua New Guinea,10,14240913720.580584,23.379384906642816,2.302585092994046
Paraguay,87,25186031564.527515,23.94955537478615,4.465908118654584
Peru,88,140536358155.83347,25.66873206915309,4.477336814478207
Philippines,6283,214402607595.78357,26.091121428362865,8.745602852402946
Poland,8,423545663598.03076,26.77192716954238,2.0794415416798357
Portugal,3,208500230666.21793,26.06320598449745,1.0986122886681098
Qatar,4,112928344777.60338,25.450019337509165,1.3862943611198906
Republic of the Congo,21,10471062031.774857,23.07188129238421,3.044522437723423
Romania,1,156679745703.71255,25.77746972271306,0.0
Russia,1914,1288529740679.4263,27.884522948401813,7.5569505720129
Rwanda,40,5955782681.860809,22.50762846383937,3.6888794541139363
Saudi Arabia,563,525956570727.7099,26.988484481118984,6.333279628139691
Senegal,50,15583296251.582724,23.469465424432588,3.912023005428146
Serbia,38,37912257754.1521,24.35854032033706,3.6375861597263857
Sierra Leone,28,2834649184.512157,21.765184022028997,3.332204510175204
Slovak Republic,3,80441349614.30457,25.11079417961047,1.0986122886681098
Slovenia,1,42969165248.58531,24.483748608167737,0.0
Solomon Islands,3,962163885.7600843,20.68469535353843,1.0986122886681098
Somalia,5148,5242732279.282823,22.380108626727413,8.546363568716018
South Africa,211,319879020750.0416,26.491208701101307,5.351858133476067
South Korea,7,1168524665431.2854,27.786763099330084,1.9459101490553132
South Sudan,323,14080606755.7446,23.368064280195583,5.777652323222656
Spain,427,1224525210990.64,27.833574301930803,6.056784013228625
Sri Lanka,879,54651698911.19889,24.724246138207427,6.778784897685177
St. Lucia,2,1463923055.8517277,21.10438569362601,0.6931471805599453
Sudan,992,39140730649.16962,24.390429466322363,6.899723107284872
Swaziland,5,3575546706.6657133,21.997383926342014,1.6094379124341003
Sweden,98,463890734311.5917,26.86291487504396,4.584967478670572
Switzerland,20,562538708713.7537,27.055725784148425,2.995732273553991
Syria,2851,30102829594.560444,24.127885010746713,7.955425088912672
Tajikistan,34,5245516041.125936,22.380639461204904,3.5263605246161616
Tanzania,64,34556782848.09418,24.265869687663063,4.1588830833596715
Thailand,3975,319649789048.13544,26.490491824212537,8.287780027088433
Togo,1,4763208686.233482,22.28418737183713,0.0
Trinidad and Tobago,10,20518009178.226227,23.74456883393741,2.302585092994046
Tunisia,138,39008726818.252846,24.387051222615085,4.927253685157205
Turkey,1996,659550108515.8165,27.21482378577141,7.59890045687141
Turkmenistan,2,24079146564.648247,23.90461201509153,0.6931471805599453
Uganda,202,21192228159.018364,23.776900355138817,5.308267697401205
Ukraine,1792,116638000209.55713,25.48234096007999,7.491087593534876
United Arab Emirates,5,285896363988.4599,26.37889521841997,1.6094379124341003
United Kingdom,1340,2556432539343.8896,28.569633863222304,7.200424892944957
United States,757,15600807666666.666,30.378343802348112,6.6293632534374485
Uruguay,2,39931044273.91727,24.410419910294575,0.6931471805599453
Uzbekistan,10,43499245188.75165,24.496009422907782,2.302585092994046
Venezuela,83,245229642866.2448,26.225460926304503,4.418840607796598
Vietnam,7,158181385151.59366,25.78700821880547,1.9459101490553132
West Bank and Gaza Strip,1606,9864704761.904762,23.012229048137844,7.381501894506707
Western Sahara,3,,,1.0986122886681098
Yemen,5920,24749805295.97279,23.932083459100784,8.68609172787805
Zambia,11,16744969552.975437,23.541363724915346,2.3978952727983707
Zimbabwe,34,13302612604.110806,23.311226289282324,3.5263605246161616
